keyword,answer
gas-release-photosynthesis,Oxygen
si-unit-power,Watt
type-rock-form-magma,Igneous
program-language-use-blockchain,Solidity
sql-stand,StructuredQueryLanguage
protocol-use-sending-email,SMTP
key-use-refresh-web-page,F5
o,Linux
cloud-service-ibm,IBMCloud
program-language-use-ai,Python
company-develop,AT&T
purpose-ip-address,Identify
command-deletes-file-linux,rm
browser-first-ever-create,Netscape
database-language-use-query,SQL
full-form-url,UniformResourceLocator
command-use-create-new-directory,mkdir
language-use-web-animation,CSS
data-structure-follow-lifo,Stack
company-create-git,Linux
language-use-web-scrap,Python
symbol-use-pointer-c,*
purpose-api,Interface
planet-large-moon,Jupiter
invent-dynamite,Nobel
river-know-yellow-river,HuangHe
sport-play-wimbledon,Tennis
car-brand-prance-horse-logo,Ferrari
fruit-contain-vitamin-c,Guava
country-know-land-smile,Thailand
main-ingredient-chocolate,Cocoa
instrument-use-measure-pressure,Barometer
paint-last-supper,DaVinci
holiday-celebrate-end-slavery-usa,Juneteenth
currency-brazil,Real
bird-fly,Penguin
zodiac-sign-represent-lion,Leo
book-series-feature-hogwarts,HarryPotter
superhero-also-know-dark-knight,Batman
planet-name-roman-god-war,Mars
deep-part-ocean,MarianaTrench
greek-god-sea,Poseidon
company-produce-iphone,Apple
country-famous-great-wall,China
write-iliad-odyssey,Homer
city-know-big-apple,NewYork
capital-egypt,Cairo
ancient-wonder-locate-babylon,HangingGardens
develop-first-successful-polio-vaccine,Salk
national-flower-usa,Rose
capital-sweden,Stockholm
mountain-tall-north-america,Denali
discover-penicillin,Fleming
city-host-first-modern-olympics,Athens
european-country-know-windmill,Netherlands
first-emperor-rome,Augustus
state-grand-canyon,Arizona
small-planet-solar-system,Mercury
desert-large-world,Antarctica
capital-malaysia,KualaLumpur
fruit-main-ingredient-guacamole,Avocado
paint-persistence-memory,Dali
river-run-baghdad,Tigris
keyword-use-declare-function,function
method-remove-first-element-array,shift
keyword-use-stop-execution-loop,break
typeof-null-return,object
function-convert-json-string-object,JSONparse
event-fire-element-click,click
object-represent-dom,document
function-execute-function-delay,setTimeout
function-execute-function-repeatedly,setInterval
default-data-type-variable-javascript,undefined
function-round-number,floor
javascript-framework-develop-google,Angular
method-remove-item-specific-index,splice
operator-use-exponentiation,**
loop-best-iterating-object,for-in
property-check-length-array,length
function-convert-number-string,toString
return-function,Exit
function-find-high-value-array,Mathmax
function-convert-object-json-string,JSONstringify
part-body-contain-bone,Hand
gas-use-balloon,Helium
chemical-formula-table-salt,NaCl
part-brain-control-balance,Cerebellum
gas-make-earth-atmosphere,Nitrogen
vitamin-essential-blood-clotting,K
process-liquid-turn-gas,Evaporation
animal-strong-bite-force,Crocodile
boil-point-water-fahrenheit,212
blood-cell-fight-infection,White
main-gas-sun,Hydrogen
abundant-element-universe,Hydrogen
animal-regenerate-lose-limb,Starfish
large-land-carnivore,PolarBear
part-plant-absorbs-water,Roots
mineral-need-strong-bone,Calcium
name-first-artificial-satellite,Sputnik
metal-use-make-aircraft,Aluminum
small-unit-life,Cell
planet-rotates-side,Uranus
company-create-c-programming-language,BellLabs
html-stand,HyperTextMarkupLanguage
protocol-use-secure-data-transfer,HTTPS
key-shortcut-use-redo-action,CtrlY
database-use-store-json-data,MongoDB
program-language-mainly-use-ai,Python
operating-system,Linux
command-use-create-directory-linux,mkdir
protocol-use-send-email,SMTP
cs-stand,CascadingStyleSheets
language-use-write-smart-contract,Solidity
type-memory,ROM
purpose-firewall,Security
key-shortcut-paste-copy-text,CtrlV
database-use-relational-database,MySQL
command-deletes-file-linux,rm
cloud-compute-platform-google,GCP
protocol-use-browsing-website,HTTP
full-form-api,ApplicationProgrammingInterface
shortcut-key-lock-windows-computer,WinL
superhero-climb-wall,Spiderman
festival-know-festival-light,Diwali
instrument-key,Piano
country-know-kangaroo,Australia
currency-use-uk,Pound
holiday-celebrate-december,Christmas
greek-god-war,Ares
sea-creature-eight-leg,Octopus
color-make-mix-blue-yellow,Green
superhero-wear-black-cape-mask,Batman
continent-large,Asia
country-famous-maple-syrup,Canada
game-feature-board-checker-square,Chess
country-know-pyramid,Egypt
fruit-symbol-new-york,Apple
month-day,February
metal-know-best-conductor-electricity,Silver
shape-four-equal-side,Square
country-dragon-flag,Bhutan
planet-close-sun,Mercury
data-structure-use-function-call,Stack
data-structure-use-bfs,Queue
algorithm-use-monotonic-stack,NextGreaterElement
data-structure-use-undo-operation,Stack
operation-queue-remove-front-element,Dequeue
data-structure-use-implement-deque,DoublyLinkedList
function-use-check-stack-empty,isEmpty
operation-add-element-stack,Push
data-structure-use-search,Queue
operation-retrieves-last-element-stack,Peek
tree-use-binary-search,BST
traversal-technique-visit-nodes-sort-order,InOrder
algorithm-find-short-path-unweighted-graph,BFS
traversal-visit-node-child,PreOrder
graph-search-algorithm-use-stack,DFS
algorithm-find-low-common-ancestor-tree,BinaryLifting
tree-balance-use-rotation,AVLTree
algorithm-find-diameter-tree,DFS
data-structure-use-detect-cycle-graph,DisjointSet
traversal-technique-visit-node-depth-first,LevelOrder
sort-algorithm-fast-average,QuickSort
sort-algorithm-best-nearly-sort-data,InsertionSort
sort-algorithm-stable-n-log-n-complexity,MergeSort
sort-algorithm-us-heap,HeapSort
sort-algorithm,RadixSort
sort-algorithm-swap-adjacent-element,BubbleSort
sort-algorithm-pick-smallest-element-pas,SelectionSort
sort-algorithm-work-best-range-number-small,CountingSort
algorithm-find-median-unsorted-array-n,QuickSelect
sort-algorithm-use-timsort,MergeInsertion
dp-algorithm-solve-rod-cut-problem,Knapsack
problem-solve-use-kadane-algorithm,MaxSubarray
algorithm-find-long-common-subsequence,LCS
algorithm-use-matrix-chain-multiplication,DP
problem-solve-use-floyd-triangle,AllPairsShortestPath
dp-approach-start-base-case,BottomUp
dp-approach-solve-problem-recursively,TopDown
problem-solve-use-subset-sum-approach,Knapsack
dp-problem-find-long-palindromic-subsequence,LPS
dp-problem-find-minimum-edit-distance,Levenshtein
search-algorithm-work-sort-array,BinarySearch
search-algorithm-n-complexity-bad-case,LinearSearch
search-algorithm-divide-array-half,BinarySearch
search-algorithm-work-efficiently-jump-list,JumpSearch
algorithm-use-find-floor-number-sort-array,BinarySearch
search-technique-use-interpolation-sort-list,InterpolationSearch
search-algorithm-use-hash-table,Hashing
algorithm-find-rank-number-sort-list,OrderStatisticTree
search-method-use-infinite-sorted-array,ExponentialSearch
search-algorithm-find-square-root-number,BinarySearch
data-structure-provide-lookup,HashTable
technique-resolve-hash-collision-use-link-list,Chaining
hash-method-us-linear-probe,OpenAddressing
hash-method-use-secondary-hash-function,DoubleHashing
algorithm-use-find-anagrams-efficiently,Hashing
hash-technique-minimizes-collision,PerfectHashing
function-use-compute-unique-key-data,HashFunction
method-resolve-collision-hash-table,QuadraticProbing
function-use-compute-hash-value,MD5
hash-function-use,CryptographicHash
algorithm-find-minimum-span-tree,Prim
algorithm-find-short-path,FloydWarshall
algorithm-find-eulerian-path,Hierholzer
algorithm-find-articulation-point,Tarjan
algorithm-find-strongly-connect-component,Kosaraju
algorithm-find-maximum-flow-network,FordFulkerson
algorithm-find-short-path-dag,TopologicalSort
algorithm-find-perfect-bipartite-matching,HopcroftKarp
algorithm-find-long-path-dag,DP
algorithm-find-articulation-bridge,Tarjan
operator-use-bitwise,&
operator-use-bitwise,|
operator-use-bitwise-leave-shift,<<
operator-use-bitwise-right-shift,>>
function-check-number-power-two,BitwiseAnd
algorithm-find-single-number,XOR
bit-manipulation-technique-swap-two-number,XORSwap
technique-find-rightmost-set-bit,Masking
function-count-number-set-bit,BrianKernighan
algorithm-find-convex-hull-set-point,GrahamScan
algorithm-find-large-rectangle-histogram,Stack
algorithm-find-long-prefix-also-suffix,KMP
problem-solve-use-algorithm,AllPairsShortestPath
algorithm-solve-subset-sum-problem,Backtracking
data-structure-use-interval-scheduling,SegmentTree
algorithm-find-long-palindromic-substring,Manacher
algorithm-find-centroid-tree,DFS
algorithm-find-maximum-xor-pair-array,Trie
algorithm-find-small-element-array,QuickSelect
discover-penicillin,Fleming
planet-close-sun,Mercury
capital-brazil,Brasilia
large-animal,BlueWhale
invent-airplane,WrightBrothers
chemical-symbol-iron,Fe
country-time-zone,France
capital-south-korea,Seoul
ocean-deepest,Pacific
hard-rock,Diamond
national-language-china,Mandarin
capital-italy,Rome
long-river-asia,Yangtze
write-odyssey,Homer
element-represent-symbol,Lead
country-know-great-wall,China
chemical-formula-methane,CH4
high-mountain-earth,Everest
national-currency-russia,Ruble
continent-country,Africa
keyword-use-define-class,class
function-remove-whitespace-string,trim
method-find-index-array,indexOf
event-trigger-form-submit,submit
operator-use-logical,&&
function-convert-array-string,toString
typeof-undefined-return,undefined
function-parses-float-string,parseFloat
javascript-framework-develop-google,Angular
method-execute-function-interval,setInterval
function-join-array-element-string,join
purpose-return-function,Exit
loop-guarantee-execution-least,do-while
function-convert-json-object,JSONparse
method-revers-array,reverse
function-capitalize-string,toUpperCase
keyword-use-export-module,export
default-scope-variable-js,Global
function-combine-two-array,concat
function-find-high-number-array,Mathmax
planet-moon,Saturn
main-gas-earth-atmosphere,Nitrogen
scientist-develop-law-motion,Newton
chemical-formula-salt,NaCl
study-plant-call,Botany
metal-liquid-room-temperature,Mercury
small-unit-life,Cell
atomic-number-oxygen,8
part-brain-control-balance,Cerebellum
speed-sound-air,343
organ-pump-blood-body,Heart
powerhouse-cell,Mitochondria
si-unit-force,Newton
vitamin-produce-sunlight,D
study-star-call,Astronomy
gas-use-neon-sign,Neon
scientist-develop-periodic-table,Mendeleev
type-energy-store-food,Chemical
process-plant-make-food,Photosynthesis
boil-point-oxygen-celsius,-183
language-use-web-development,HTML
full-form-http,HyperTextTransferProtocol
database-relational,MySQL
ram-stand,RandomAccessMemory
key-start-bios-setup,F2
protocol-secures-website,HTTPS
cpu-stand,CentralProcessingUnit
device-store-data,HardDrive
keyboard-shortcut-copy-text,CtrlC
default-file-extension-java,java
program-language-run-browser,JavaScript
linux-command-list-file,ls
cloud-service-microsoft,Azure
binary-representation,1010
full-form-ai,ArtificialIntelligence
protocol-use-file-transfer,FTP
tag-create-hyperlink-html,a
function-return-string-length-python,len
full-form-api,ApplicationProgrammingInterface
device-process-graphic,GPU
keyword-use-define-function-python,def
data-type-mutable-python,List
method-use-read-user-input-python,input
keyword-use-exception-handle-python,try
module-use-handle-regular-expression-python,re
keyword-use-define-class-java,class
function-entry-point-java-program,main
operator-use-inheritance-java,extends
package-import-default-java,javalang
keyword-use-method-overload-java,static
function-use-print-output,cout
keyword-use-dynamic-memory-allocation,new
operator-use-pointer-dereferencing,*
loop-ensure-execution-least,do-while
keyword-use-declare-constant-variable-javascript,const
method-convert-string-lowercase-javascript,toLowerCase
function-remove-whitespace-side-string,trim
function-use-parse-json-string,JSONparse
keyword-use-define-property-c,get
function-use-write-output-console-c,ConsoleWriteLine
access-modifier-allow-access-within-assembly-c,internal
keyword-use-define-interface-c,interface
data-type-use-store-large-number-c,double
function-use-get-length-string-php,strlen
superglobal-array-store-form-data-php,_POST
function-use-start-session-php,session_start
keyword-use-define-constant-swift,let
function-use-print-output-swift,print
keyword-use-define-optional-swift,Optional
function-entry-point-kotlin-program,main
keyword-use-define-protocol-swift,protocol
function-entry-point-kotlin-program,main
keyword-use-declare-nullable-variable-kotlin,?
function-convert-string-integer-kotlin,toInt
keyword-use-define-extension-function-kotlin,fun
keyword-use-coroutines-kotlin,suspend
method-use-print-output-ruby,puts
symbol-use-define-instance-variable-ruby,@
keyword-use-define-class-ruby,class
operator-use-string-interpolation-ruby,{}
function-use-check-length-string-ruby,length
keyword-use-declare-function-go,func
function-use-print-output-go,fmtPrintln
package-use-operation-go,fmt
keyword-use-define-struct-go,struct
function-use-get-length-slice-go,len
keyword-use-declare-variable-rust,let
function-use-print-output-rust,println!
symbol-use-define-reference-rust,&
keyword-use-define-module-rust,mod
keyword-use-create-mutable-variable-rust,mut
function-use-print-output-r,print
function-use-get-length-vector-r,length
symbol-use-assignment-r,<-
function-use-create-sequence-r,seq
function-use-sort-vector-r,sort
function-use-plot-graph-matlab,plot
keyword-use-define-function-matlab,function
function-use-create-matrix-matlab,zeros
function-use-find-maximum-value-matlab,max
function-use-calculate-mean-matlab,mean
keyword-use-define-type-typescript,type
keyword-use-declare-interface-typescript,interface
function-convert-number-string-typescript,toString
keyword-use-ensure-strict-type-checking-typescript,strict
function-use-check-string-include-substring,includes
function-use-print-output-scala,println
keyword-use-define-object-scala,object
symbol-use-function-parameter-scala,>
keyword-use-pattern-match-scala,match
keyword-use-define-trait-scala,trait
function-use-print-output-dart,print
keyword-use-declare-variable-dart,var
keyword-use-asynchronous-program-dart,async
symbol-use-define-function-dart,>
keyword-use-defining-class-dart,class
keyword-use-retrieve-data-sql,SELECT
function-use-count-row-sql,COUNT
keyword-use-remove-duplicate-sql,DISTINCT
keyword-use-filter-data-sql,WHERE
command-use-create-table-sql,CREATE
command-list-file-bash,ls
command-print-output-bash,echo
command-use-change-directory-bash,cd
command-use-check-current-directory-bash,pwd
function-use-print-output-perl,print
keyword-use-loop-perl,foreach
keyword-use-define-subroutine-perl,sub
keyword-use-define-function,def
function-print-output-python,print
operator-use-exponentiation,**
module-use-work-date,datetime
function-return-length-list,len
statement-use-handle-exception,try
function-convert-string-integer,int
method-use-remove-item-list,remove
loop-use-iterate-sequence,for
function-return-absolute-value-number,abs
function-return-maximum-value-list,max
function-round-number-near-integer,round
keyword-use-define-class,class
method-add-element-set,add
module-use-generate-random-number,random
method-use-capitalize-first-letter-string,capitalize
method-use-split-string,split
keyword-use-import-module,import
function-return-small-value-list,min
method-use-check-string-start-specific-letter,startswith
function-return-ascii-value-character,ord
method-remove-last-item-list,pop
keyword-use-exit-function,return
function-use-create-iterable-object,iter
function-convert-integer-string,str
loop-run-indefinitely-unless-stop,while
method-join-element-list-string,join
function-return-type-variable,type
keyword-use-delete-variable,del
function-sort-list-ascend-order,sorted
module-use-handle-regular-expression,re
statement-stop-loop-prematurely,break
function-return-sort-copy-list,sorted
function-read-input-user,input
method-return-copy-string-uppercase-letter,upper
function-return-list-attribute-method-object,dir
function-return-memory-address-object,id
keyword-use-inherit-parent-class,super
keyword-use-check-value-exist-sequence,in
method-replaces-part-string,replace
method-remove-lead-trail-space-string,strip
function-check-element-iterable-true,all
function-check-element-iterable-true,any
keyword-define-anonymous-function,lambda
module-provide-mathematical-function,math
function-return-hexadecimal-representation-number,hex
function-return-binary-representation-number,bin
function-read-file-entire-content,read
function-write-data-file,write
function-check-file-exists,exists
statement-open-file-reading,open
function-return-number-item-iterable,len
method-append-item-list,append
function-check-object-callable,callable
method-use-sort-list-place,sort
function-raise-number-power,pow
function-return-new-list-element-square,map
function-applies-filter-iterable,filter
module-use-work-json-data,json
function-return-remainder-division,mod
function-return-quotient-remainder,divmod
keyword-use-create-generator,yield
function-return-sequence-number,range
method-count-occurrences-value-list,count
keyword-use-create-package,__init__
function-return-copy-list,copy
function-swap-key-value-dictionary,zip
function-convert-list-tuple,tuple
function-merges-two-list-pair,zip
function-convert-dictionary-list-tuples,items
function-return-list-dictionary-key,keys
function-return-list-dictionary-value,values
function-add-pair-dictionary,update
function-return-default-value-key-miss,get
module-use,threading
module-use-multiprocessing,multiprocessing
module-use-work-csv-file,csv
module-use-working-database,sqlite3
module-use-handle-urls,urllib
function-convert-string-lowercase,lower
module-use-handling-time,time
function-pause-execution-give-number-second,sleep
keyword-define-abstract-method,abstractmethod
function-generates-random-integer,randint
module-use-scientific-compute,numpy
module-use-data-analysis,pandas
module-use-machine-learn,sklearn
module-use-deep-learning,tensorflow
function-use-reshape-array-numpy,reshape
method-remove-duplicate-value-list,set
method-convert-list-string,join
keyword-use-define-asynchronous-function,async
method-wait-asynchronous-operation-complete,await
module-use-create-http-request,requests
module-use-work-xml,xml
function-check-string-contains-digit,isdigit
capital-france,Paris
discover-gravity,Newton
large-mammal,BlueWhale
paint-mona-lisa,DaVinci
national-bird-usa,Eagle
gas-essential-breathing,Oxygen
chemical-symbol-gold,Au
hard-natural-substance,Diamond
write-juliet,Shakespeare
capital-japan,Tokyo
long-river-world,Nile
invent-telephone,Bell
large-ocean,Pacific
planet-know-red-planet,Mars
chemical-formula-water,H2O
first-president-usa,Washington
animal-know-king-jungle,Lion
national-currency-china,Yuan
boil-point-water-celsius,100
continent-know-continent,Africa
keyword-declare-variable,var
function-convert-string-integer,parseInt
method-add-element-array,push
keyword-use-asynchronous-function,async
function-remove-last-element-array,pop
default-behavior-sort,Lexical
loop-use-iterate-object-property,for-in
,Parse
typeof-null-return,Object
keyword-use-define-constant,const
javascript-framework-maintain-facebook,React
object-represent-browser-window,window
event-handler-button-click,onclick
method-convert-array-string,join
nan-stand,NotANumber
method-use-call-function-delay,setTimeout
function-return-random-number,Mathrandom
operator-use-exponentiation,**
develop-theory-relativity,Einstein
national-flower-india,Lotus
speed-light,299792458
element-atomic-number,Hydrogen
national-sport-canada,IceHockey
know-father-computer,Babbage
city-know-big-apple,NewYork
capital-australia,Canberra
gas-use-balloon,Helium
square-root,12
small-planet-solar-system,Mercury
national-currency-uk,Pound
write-catcher-rye,Salinger
part-plant-conduct-photosynthesis,Leaf
founder-microsoft,Gates
capital-germany,Berlin
country-know-land-rise-sun,Japan
long-bone-human-body,Femur
freeze-point-water-celsius,0
instrument-use-measure-earthquake,Seismometer
output-python,8
default-port-http,80
data-structure-follow-fifo,Queue
cs-stand,CascadingStyleSheets
html-tag-use-hyperlink,a
binary-representation,101
protocol-use-send-email,SMTP
sql-stand,StructuredQueryLanguage
database-nosql,MongoDB
main-function-operating-system,ManageResources
cloud-platform-develop-amazon,AWS
language-primarily-use-android-development,Kotlin
http-stand,HyperTextTransferProtocol
company-create-java,SunMicrosystems
ram-stand,RandomAccessMemory
full-form-api,ApplicationProgrammingInterface
program-language-use-ai,Python
default-file-extension-python-script,py
company-develop-c-programming-language,BellLabs
